filename,width,height,class,xmin,ymin,xmax,ymax
M_P_Trabajando_Manos_202.jpg,1920,1080,hand,850,269,888,317
M_P_Trabajando_Manos_202.jpg,1920,1080,hand,924,265,974,310
M_P_Trabajando_Manos_266.jpg,1920,1080,hand,990,231,1042,267
M_P_Trabajando_Manos_266.jpg,1920,1080,hand,1034,252,1058,278
M_P_Trabajando_Amarillos_32.jpg,1920,1080,hand,917,243,957,280
M_P_Trabajando_Amarillos_32.jpg,1920,1080,hand,815,262,878,303
M_P_Mostrando_Verdes_36.jpg,1920,1080,hand,755,259,824,318
M_P_Mostrando_Verdes_36.jpg,1920,1080,hand,875,276,947,319
M_P_Trabajando_Amarillos_41.jpg,1920,1080,hand,923,237,974,274
M_P_Trabajando_Amarillos_41.jpg,1920,1080,hand,763,245,808,288
M_P_Mostrando_Verdes_29.jpg,1920,1080,hand,744,69,817,127
M_P_Mostrando_Verdes_29.jpg,1920,1080,hand,1134,104,1209,173
M_P_Trabajando_Amarillos_76.jpg,1920,1080,hand,931,261,998,313
M_P_Trabajando_Manos_50.jpg,1920,1080,hand,840,264,878,290
M_P_Trabajando_Manos_50.jpg,1920,1080,hand,904,273,947,302
M_P_Trabajando_Manos_90.jpg,1920,1080,hand,862,216,901,256
M_P_Trabajando_Manos_90.jpg,1920,1080,hand,909,242,944,279
M_P_Mostrando_Amarillos_18.jpg,1920,1080,hand,1001,162,1081,239
M_P_Mostrando_Amarillos_18.jpg,1920,1080,hand,611,140,664,200
M_P_Trabajando_Verdes_55.jpg,1920,1080,hand,847,238,913,281
M_P_Trabajando_Amarillos_136.jpg,1920,1080,hand,814,249,860,291
M_P_Trabajando_Amarillos_136.jpg,1920,1080,hand,858,248,883,285
M_P_Mostrando_Verdes_71.jpg,1920,1080,hand,799,116,862,166
M_P_Mostrando_Verdes_71.jpg,1920,1080,hand,977,131,1031,177
M_P_Mostrando_Manos_148.jpg,1920,1080,hand,768,222,816,267
M_P_Mostrando_Manos_148.jpg,1920,1080,hand,873,233,923,278
M_P_Mostrando_Verdes_59.jpg,1920,1080,hand,897,233,959,296
M_P_Mostrando_Verdes_59.jpg,1920,1080,hand,1000,249,1051,295
M_P_Trabajando_Manos_194.jpg,1920,1080,hand,941,252,993,303
M_P_Trabajando_Manos_194.jpg,1920,1080,hand,1000,239,1050,271
M_P_Trabajando_Mano-Amarillo_12.jpg,1920,1080,hand,800,262,857,305
M_P_Trabajando_Mano-Amarillo_12.jpg,1920,1080,hand,895,265,932,296
