filename,width,height,class,xmin,ymin,xmax,ymax
N_P_Mostrando_Verdes_37.jpg,1920,1080,hand,985,125,1038,179
N_P_Mostrando_Verdes_37.jpg,1920,1080,hand,1061,123,1108,183
N_P_Mostrando_Verdes_67.jpg,1920,1080,hand,802,1,851,72
N_P_Trabajando_Verdes_46.jpg,1920,1080,hand,1039,259,1096,312
N_P_Trabajando_Manos_138.jpg,1920,1080,hand,1049,235,1102,278
N_P_Mostrando_Verdes_28.jpg,1920,1080,hand,992,240,1035,289
N_P_Mostrando_Verdes_28.jpg,1920,1080,hand,1043,243,1091,288
N_P_Mostrando_Verdes_4.jpg,1920,1080,hand,1039,160,1113,239
N_P_Mostrando_Verdes_4.jpg,1920,1080,hand,972,160,1039,232
N_P_Mostrando_Verdes_92.jpg,1920,1080,hand,922,15,971,92
N_P_Mostrando_Verdes_92.jpg,1920,1080,hand,1019,15,1085,86
N_P_Trabajando_Manos_69.jpg,1920,1080,hand,1014,241,1063,292
N_P_Trabajando_Manos_127.jpg,1920,1080,hand,959,234,1018,286
N_P_Mostrando_Mano-Amarillo_35.jpg,1920,1080,hand,909,98,976,162
N_P_Mostrando_Mano-Amarillo_35.jpg,1920,1080,hand,1059,98,1123,160
N_P_Mostrando_Amarillos_108.jpg,1920,1080,hand,938,219,994,275
N_P_Mostrando_Amarillos_108.jpg,1920,1080,hand,1093,233,1175,308
N_P_Trabajando_Manos_106.jpg,1920,1080,hand,1072,240,1128,307
N_P_Trabajando_Manos_106.jpg,1920,1080,hand,963,239,1025,292
N_P_Mostrando_Amarillos_85.jpg,1920,1080,hand,763,126,828,185
N_P_Mostrando_Amarillos_85.jpg,1920,1080,hand,839,122,892,176
N_P_Mostrando_Verdes_50.jpg,1920,1080,hand,907,153,982,241
N_P_Mostrando_Verdes_50.jpg,1920,1080,hand,1108,148,1165,251
N_P_Trabajando_Amarillos_28.jpg,1920,1080,hand,999,225,1061,278
N_P_Trabajando_Amarillos_28.jpg,1920,1080,hand,1056,210,1115,260
N_P_Trabajando_Manos_100.jpg,1920,1080,hand,969,253,1005,292
